Dest_name	Prefix	Day	Evening	Weekend	Effective_Date
Australia Mobile Vodafone	61452	0.080200	0.080200	0.080200	Jun  1 2011
Australia Mobile Vodafone	61453	0.080200	0.080200	0.080200	Jun  1 2011
Australia Mobile Vodafone	614888	0.080200	0.080200	0.080200	Jun  1 2011
Australia Perth	61892	0.011500	0.011500	0.011500	May  1 2012
Australia Perth	61893	0.011500	0.011500	0.011500	May  1 2012
Australia Perth	61894	0.011500	0.011500	0.011500	May  1 2012
Australia Perth	61852	0.011500	0.011500	0.011500	May  1 2012
Australia Perth	61853	0.011500	0.011500	0.011500	May  1 2012
Australia Perth	61854	0.011500	0.011500	0.011500	May  1 2012
Australia Perth	61861	0.011500	0.011500	0.011500	May  1 2012
Australia Perth	61862	0.011500	0.011500	0.011500	May  1 2012
Australia Perth	61863	0.011500	0.011500	0.011500	May  1 2012
Australia Perth	61864	0.011500	0.011500	0.011500	May  1 2012
Australia Perth	61865	0.011500	0.011500	0.011500	May  1 2012
Australia Special Services	6113	0.060000	0.060000	0.060000	Jul  1 2012
Australia Special Services	6110	0.060000	0.060000	0.060000	Jul  1 2012
Australia Special Services	6112	0.060000	0.060000	0.060000	Jul  1 2012
Australia Special Services	6114	0.060000	0.060000	0.060000	Jul  1 2012
Australia Special Services	6118	0.060000	0.060000	0.060000	Jul  1 2012
Australia Special Services	6119	0.060000	0.060000	0.060000	Jul  1 2012
Australia Special Services	6150	0.060000	0.060000	0.060000	Jul  1 2012
Australia Sydney	6128	0.011800	0.011800	0.011800	Jun  1 2012
Australia Sydney	6129	0.011800	0.011800	0.011800	Jun  1 2012
Austria	43	0.012500	0.012500	0.012500	Mar  1 2012
Austria Mobile	4365	0.157000	0.157000	0.157000	Mar  1 2012
Austria Mobile	4366	0.157000	0.157000	0.157000	Mar  1 2012
Austria Mobile Hutchinson 3G	43660	0.032000	0.032000	0.032000	Mar  1 2012
Austria Mobile Hutchinson 3G	4367833	0.032000	0.032000	0.032000	Mar  1 2012
Austria Mobile Hutchinson 3G	4367890	0.032000	0.032000	0.032000	Mar  1 2012
Austria Mobile Hutchinson 3G	4367891	0.032000	0.032000	0.032000	Mar  1 2012
Austria Mobile Hutchinson 3G	43678	0.032000	0.032000	0.032000	Mar  1 2012
Austria Mobile Mobile One	43681	0.032000	0.032000	0.032000	Mar  1 2012
Austria Mobile Mobile One	43699	0.032000	0.032000	0.032000	Mar  1 2012
Austria Mobile Mobilkom	43664	0.032000	0.032000	0.032000	Mar  1 2012
Austria Mobile Mobilkom	43644	0.032000	0.032000	0.032000	Mar  1 2012
Austria Mobile Mobilkom	43680	0.032000	0.032000	0.032000	Mar  1 2012
Austria Mobile Mobilkom	43688	0.032000	0.032000	0.032000	Mar  1 2012
Austria Mobile Mobilkom	4369988	0.032000	0.032000	0.032000	Mar  1 2012
Austria Mobile Mobilkom	4369989	0.032000	0.032000	0.032000	Mar  1 2012
Austria Mobile Telering	43650	0.032000	0.032000	0.032000	Mar  1 2012
Austria Mobile Tmobile	43676	0.032000	0.032000	0.032000	Mar  1 2012
Austria Mobile Tmobile	43677	0.032000	0.032000	0.032000	Mar  1 2012
Austria Mobile Yesss	4368110	0.032000	0.032000	0.032000	Mar  1 2012
Austria Mobile Yesss	4368111	0.032000	0.032000	0.032000	Mar  1 2012
Austria Mobile Yesss	4368181	0.032000	0.032000	0.032000	Mar  1 2012
Austria Mobile Yesss	4368182	0.032000	0.032000	0.032000	Mar  1 2012
Austria Special Services	43711	0.480000	0.480000	0.480000	Mar  1 2012
Austria Special Services	43730	0.480000	0.480000	0.480000	Mar  1 2012
Austria Special Services	43740	0.480000	0.480000	0.480000	Mar  1 2012
Austria Special Services	43810	0.480000	0.480000	0.480000	Mar  1 2012
Austria Special Services	43820	0.480000	0.480000	0.480000	Mar  1 2012
Austria Special Services	43720	0.480000	0.480000	0.480000	Mar  1 2012
Austria Special Services	43780	0.480000	0.480000	0.480000	Mar  1 2012
Austria Special Services	43710	0.480000	0.480000	0.480000	Mar  1 2012
Austria Special Services	4311	0.480000	0.480000	0.480000	Jun  1 2012
Austria Special Services	4350	0.480000	0.480000	0.480000	Jun  1 2012
Austria Special Services	43517	0.480000	0.480000	0.480000	Jun  1 2012
Austria Special Services	4357	0.480000	0.480000	0.480000	Jun  1 2012
Austria Special Services	4359	0.480000	0.480000	0.480000	Jun  1 2012
Austria Special Services	43718	0.480000	0.480000	0.480000	Jun  1 2012
Austria Special Services	438	0.480000	0.480000	0.480000	Jun  1 2012
Austria Special Services	4390	0.480000	0.480000	0.480000	Jun  1 2012
Austria Special Services	4393	0.480000	0.480000	0.480000	Jun  1 2012
Austria Vienna	431	0.012500	0.012500	0.012500	Mar  1 2012
Austria Vienna	4320	0.012500	0.012500	0.012500	Mar  1 2012
Azerbaijan	994	0.183600	0.183600	0.183600	Jun  1 2012
Azerbaijan Baku	99412	0.181000	0.181000	0.181000	Jun  1 2012
Azerbaijan Mobile	99440	0.236300	0.236300	0.236300	Oct  1 2010
Azerbaijan Mobile	99450	0.236300	0.236300	0.236300	Oct  1 2010
Azerbaijan Mobile	99451	0.236300	0.236300	0.236300	Oct  1 2010
Azerbaijan Mobile	99455	0.236300	0.236300	0.236300	Oct  1 2010
Azerbaijan Mobile	99470	0.236300	0.236300	0.236300	Oct  1 2010
Azerbaijan Mobile	99444	0.236300	0.236300	0.236300	Oct  1 2010
Azerbaijan Mobile	99460	0.236300	0.236300	0.236300	Oct  1 2010
Azerbaijan Mobile	99477	0.236300	0.236300	0.236300	Oct  1 2010
Bahamas	1242	0.078000	0.078000	0.078000	Jul  1 2012
Bahamas Mobile	1242357	0.150300	0.150300	0.150300	Jun  1 2012
Bahamas Mobile	1242359	0.150300	0.150300	0.150300	Jun  1 2012
Bahamas Mobile	1242427	0.150300	0.150300	0.150300	Jun  1 2012
Bahamas Mobile	1242457	0.150300	0.150300	0.150300	Jun  1 2012
Bahamas Mobile	1242477	0.150300	0.150300	0.150300	Jun  1 2012
Bahamas Mobile	1242557	0.150300	0.150300	0.150300	Jun  1 2012
Bahamas Mobile	1242375	0.150300	0.150300	0.150300	Jun  1 2012
Bahamas Mobile	1242376	0.150300	0.150300	0.150300	Jun  1 2012
Bahamas Mobile	1242395	0.150300	0.150300	0.150300	Jun  1 2012
